COVID_Worry,COVID_Too_Much_Time,COVID_Lot_Time,COVID_Afraid,COVID_Irritable,COVID_Guilty,COVID_Sad,COVID_Preoccupied,COVID_Stressed
3.617391208,4.240941302,3.995910697,39.72,63.38,20,20.14,39.72,50.99
2,2,5,31.22314979,59.47136916,21.69044932,63.51162101,51.61168594,60.17151271
4,6,5,78.87,100,20,91.13,68.73,100
4.525859984,4.365592969,4.955090454,61.86745333,62.17047494,28.95877986,66.27447995,54.89931964,67.64313294
5,3,6,60.34762829,62.17047494,33.14075746,64.77850695,61.20031512,70.18754083
1,1,1,0,100,21.29,10.65,3.87,0
4.321625992,4.240941302,4.074122431,51.12029587,62.17047494,28.27545347,64.77850695,52.50573941,66.65085688
1.87380133,2.252087989,2.500334576,12.82,100,0,21.55,0,0
3.617391208,4.240941302,4.019299687,50.14,61.13,9.58,60.28421914,60.7,50.14
5.683775201,5.62842347,6.171027618,91.27,81.41,64.23,100,90,82.25
5,3,5,71.29,100,78.39,100,67.1,63.55
4,5,5,51.12029587,62.17047494,26.7404461,64.77850695,56.0151918,68.10944385
4.928304503,4.365592969,4.955090454,71.94,97.74,16.77,93.55,70.32,85.48
6,5,6,83.24,84.79,0,100,10.99,90.85
5,5,6,55.63,42.25,38.59,58.17,33.38,60
5,4,7,61.86745333,62.17047494,26.59101338,67.44327314,62.35151367,70.18754083
6,5,6,70.42,40,39.15,81.69,91.13,70.14
5,5,6,60.85,75.77,50.56,83.24,70.99,82.25
3.196734239,2.904241795,3.569195729,41.41,72.96,0,100,31.13,42.25
5,7,7,31.83,100,0,72.25,84.23,69.15
5,7,5,63.44909895,62.17047494,31.57922057,68.27323984,56.90320094,69.10171991
2,2,2,0,100,0,0,0,0
4.525859984,4.365592969,4.90026771,61.86745333,62.17047494,29.99540051,66.27447995,54.89931964,67.64313294
1,2,1,50.28,91.97,19.86,50,61.13,29.58
2.119062107,2.252087989,2.500334576,18.92,70.72,8.71,8.41,30.03,29.58
3,1,2,29.72,60.42,18.59,8.73,0,60.42
4.571275521,4.365592969,4.955090454,60.85,41.41,0,80.85,60.56,70.99
5,6,5,64.58553755,62.17047494,31.14027244,71.04707871,56.90320094,70.36017813
3.258702842,2.904241795,3.569195729,15.49,92.68,0,89.86,61.13,69.72
6,5,5,60.42,0,0,61.55,39.3,72.11
4,4,4,39.15,100,34.93,65.63,61.27,70.85
6,4,6,72.77819093,63.24551087,40.52479721,75.07715826,73.60415273,83.97428912
6,7,6,98.57,89.11,17.77,64.47,76.22,83.38
5,5,7,62.74161148,61.41370674,27.95765756,69.44203302,64.35539497,70.18754083
2,4,6,8.87,71.55,0,70.42,13.8,69.3
5.039223557,4.365592969,4.955090454,70.42,100,19.3,100,80.99,60.28
2.320907725,2.252087989,2.500334576,20.70392395,8.45,40,18.87,61.69,30.14
4.152532123,4.240941302,4.074122431,47.37483924,62.17047494,30.11788123,64.77850695,54.37345363,65.30428738
7,7,7,64.37,100,25.77,71.69,67.75,100
6,7,7,39.3,78.17,69.3,37.75,35.77,71.69
3,2,3,49.72441398,60.97683982,24.77027147,63.51162101,51.35454086,63.60367348
1,1,1,19.15,70.85,0,0,0,0
4,4,4,41.41,100,31.41,100,41.97,46.2
5,2,5,49.86,28.87,29.86,39.15,60.28,60.56
3.345631208,2.818220871,3.569195729,19.3,58.59,0,23.38,29.3,78.03
3,3,6,60.85,94.37,60.28,81.69,60.7,81.83
3,3,6,57.18,8.45,75.49,58.17,88.31,98.59
6,6,6,81.27,67.32,71.27,100,50.42,100
5,6,7,100,100,19.15,100,70.56,100
1,2,3,11.17,82.23,16.05,79.37,58.17,60.46
6,5,5,75.48788002,63.24551087,32.25755493,73.90836507,61.63754078,83.92076803
2,2,2,59.86,61.13,29.01,70.56,50.28,70
5.184136988,4.365592969,4.955090454,82.58,51.29,0,100,15.48,86.45
5,5,7,77.74,67.1,8.39,78.06,59.35,78.06
2,5,5,62.25,18.03,39.72,84.65,90.99,70.14
7,7,6,94.93,60.28,60.14,73.52,72.68,85.92
2,6,5,0,60.85,0,81.41,18.87,9.3
5,5,5,63.44909895,62.17047494,27.28378516,68.27323984,56.90320094,69.10171991
7,6,5,72.82,82.11,10,59.86,50,100
5,5,5,81.55,29.86,70.7,50.14,91.13,71.13
5.076090525,4.365592969,5.190342338,66.06,100,76.2,74.93,77.04,97.32
4,2,3,44.56170342,60.97683982,23.85721575,64.77850695,51.35454086,65.30428738
6,6,6,77.75,66.76,19.58,18.31,71.27,80.85
6,6,6,75.48788002,63.24551087,40.43566536,75.07715826,73.16692695,86.1561669
3,5,6,46.45141292,62.17047494,27.8451461,63.51162101,62.26298809,67.87024325
7,7,7,82.29114097,66.60600403,33.73308711,77.59661371,75.00045436,86.1561669
6,5,7,77.94,69.63,20.06,68.77,68.48,100
1,2,5,19.12669054,35.59706274,11.6456575,36.72978147,40.72793924,38.55232158
3.495154329,2.904241795,3.569195729,62.54,62.25,30.99,62.39,31.97,41.97
3,6,6,44.08,29.3,0,68.45,40.10106712,39.58
5,7,7,63.44909895,62.17047494,33.53399926,69.44203302,64.35539497,70.18754083
2,3,5,31.22314979,61.54324108,20.7773936,63.51162101,51.61168594,60.23024827
3,3,3,64.08,60.28,25.49,68.73,40.56,61.55
4.175823105,4.240941302,4.074122431,60.46,85.67,28.08,80.23,40.11,57.02
7,7,7,67.42,66.13,27.1,62.58,71.94,65.16
2,3,2,27.74,0,0,47.42,43.87,5.81
1,2,2,0.14,0.14,0.14,0,0.14,0
4.8703214,4.365592969,4.955090454,71.06,80.8,1.72,83.95,14.04,73.64
5,7,4,59.65857832,62.17047494,29.87219589,64.77850695,54.50962072,67.64313294
2,2,3,17.1,7.1,42.9,33.87,28.06,20.97
6,3,5,91.61,39.68,27.74,25.48,31.29,24.84
5,2,3,53.74397184,59.93700898,26.54717941,64.77850695,51.35454086,66.65085688
5.287770746,4.365592969,4.955090454,90.54,70.77,81.95,81.09,71.35,71.63
6,6,6,47.54,69.82,10.86,82.4,43.9,58.85
4,4,3,47.37483924,62.17047494,25.46791693,64.77850695,52.50573941,65.30428738
2,2,5,17.42,49.68,37.74,16.45,41.29,48.06
3,3,3,46.45141292,62.17047494,25.46791693,63.51162101,51.35454086,64.06731082
5,5,6,18.06,48.39,59.03,70.32,49.35,59.35
5,4,4,60.17099456,62.17047494,32.6694984,64.77850695,53.39374856,67.64313294
3,2,3,34.51,100,20.14,68.59,30.99,70
5,5,5,69.05,68.77,28.08,88.54,71.92,86.53
4,7,7,71.63,91.69,8.88,84.53,26.65,62.46
3.023267849,2.904241795,3.569195729,40.28,50.56,0,50.28,59.72,40.28
3,5,4,49.72,60.28,24.23,70.56,39.15,60.14
6,5,6,75.48788002,63.24551087,37.02975655,75.07715826,73.16692695,85.03354665
2,1,2,54.29,62.24,1.46,48.46,7.78,1.62
4,3,5,47.37483924,62.17047494,26.7404461,64.77850695,52.86011194,65.30428738
2,2,5,36.62,28.17,15.07,14.23,0,38.03
3,2,3,10,13.1,0,70.99,19.86,11.97
6,6,7,74.21,79.66,73.64,88.54,85.1,84.53
1,2,2,64.93,30.14,0,70.42,19.3,59.01
4.945729399,4.365592969,4.90026771,87.89,80.28,54.93,100,29.86,68.45
2,1,2,19.86,0,0,13.24,0,17.18
4.45233195,4.240941302,4.265129991,50.96,100,0,98.7,68.7,96.87
6,6,7,96.13,76.45,31.29,100,68.39,100
4,6,5,50.85502099,62.17047494,26.1255587,64.77850695,56.0151918,67.64626961
4.25621626,4.240941302,4.047066106,33.38,71.41,9.01,94.08,38.03,71.55
1.970258453,2.252087989,2.500334576,8.45,63.8,0,7.04,54.51,18.17
5,6,7,60.42,100,28.87,80.85,50.28,90.56
1,3,2,18.694625,31.9290652,11.09160597,31.01435492,40.72793924,35.67948167
4.455631111,4.240941302,4.019299687,48.33246248,62.17047494,26.7404461,64.77850695,52.50573941,65.30428738
5,7,7,82.82,89.44,59.44,100,81.55,99.01
5,3,5,65.07,18.87,0.14,0.14,19.44,29.86
5.090164656,4.365592969,5.190342338,89.01,100,81.41,67.32,38.59,100
6,7,7,55.81,19.03,0.32,33.87,21.29,72.9
1.87380133,2.252087989,2.500334576,3.23,24.84,0,3.87,0,1.61
5.688104219,5.62842347,6.171027618,92.54,100,19.72,82.39,73.24,92.39
2,4,3,31.22314979,60.50341024,20.07974813,63.51162101,51.25731341,57.11112323
4.525859984,4.365592969,4.955090454,61.86745333,62.17047494,28.95877986,66.27447995,54.89931964,67.64313294
4,5,6,82.11,85.92,50.56,91.41,80,72.96
3,4,5,28.45,70.56,0,59.72,49.72,28.59
4.53883812,4.365592969,5.04011986,64.08,92.82,0,100,26.06,90.28
1,1,1,0,0,0,0,0,9.15
5,6,5,63.44909895,62.17047494,27.67068922,68.27323984,56.90320094,69.10171991
1,1,1,17.37479789,34.15061076,11.09160597,31.01435492,40.72793924,35.67948167
4,5,4,61.69,100,0,50,50.99,77.18
2.815409185,2.818220871,3.569195729,0,100,0,19.86,19.44,81.41
3,3,5,46.45141292,61.1306441,26.7404461,63.51162101,52.86011194,64.06731082
3,6,5,64.93,66.9,16.48,84.08,31.27,85.35
6,6,7,61.41,63.52,61.97,58.73,60.56,64.79
3,3,3,49.03064245,61.1306441,24.77027147,63.51162101,51.35454086,63.60367348
3,5,4,69.91,37.25,67.05,73.93,66.76,79.08
6,4,3,61.6,100,76.5,98.85,40.97,92.55
6,6,5,75.48788002,63.24551087,40.54929177,73.90836507,61.20031501,81.18531765
4.269795437,4.240941302,4.019299687,64.52,27.74,0.65,70.65,66.13,59.03
2.130844414,2.252087989,2.500334576,22.64,64.47,9.74,59.03,34.67,27.22
5,5,6,63.04,77.65,16.91,67.91,73.93,100
3,6,1,70.97,73.55,48.06,60,49.03,70
4,2,3,70.49,66.48,24.64,61.03,67.05,78.22
2,2,2,27.52086992,54.84087388,15.10597501,56.1702629,47.4015367,53.31089281
2,4,4,0,0,0,38.4,1.72,9.17
5,5,6,64.58553755,62.17047494,34.54994307,72.21587189,64.35539497,71.44599905
